Sample,Intent
My name is Ahmed.,Inform_Name
I am Aisha.,Inform_Name
"Hello, I am Bilal.",Inform_Name
My name is Sara.,Inform_Name
I go by the name of Ali.,Inform_Name
I am Fatima.,Inform_Name
You can call me Usman.,Inform_Name
I am Amna.,Inform_Name
My name is Imran.,Inform_Name
I am Sana.,Inform_Name
I go by the name of Tariq.,Inform_Name
My name is Hina.,Inform_Name
I am Faisal.,Inform_Name
"Hello, I am Nadia.",Inform_Name
My name is Osama.,Inform_Name
I am Mariam.,Inform_Name
You can call me Hasan.,Inform_Name
I am Rabia.,Inform_Name
My name is Saad.,Inform_Name
I am Meher.,Inform_Name
"Hello, my name is Kamran.",Inform_Name
I go by the name of Haseeb.,Inform_Name
My name is Alina.,Inform_Name
I am Bilal.,Inform_Name
You can call me Naeem.,Inform_Name
I am Javeria.,Inform_Name
My name is Danish.,Inform_Name
I am Neha.,Inform_Name
"Hello, I am Zubair.",Inform_Name
My name is Saira.,Inform_Name
I am Mohtashim.,Inform_Name
You can call me Ayesha.,Inform_Name
I am Waqas.,Inform_Name
My name is Shahida.,Inform_Name
I am Khalid.,Inform_Name
"Hello, my name is Anum.",Inform_Name
I go by the name of Sarmad.,Inform_Name
My name is Kiran.,Inform_Name
I am Usman.,Inform_Name
You can call me Farah.,Inform_Name
I am Adnan.,Inform_Name
My name is Uzma.,Inform_Name
"Hello, I am Tariq.",Inform_Name
I am Adeel.,Inform_Name
My name is Gul.,Inform_Name
I am Zainab.,Inform_Name
You can call me Hamza.,Inform_Name
I am Nida.,Inform_Name
My name is Bilal.,Inform_Name
I am Sehrish.,Inform_Name
"Hello, my name is Bilal.",Inform_Name
My name is Sara.,Inform_Name
I am Anwar.,Inform_Name
You can call me Rida.,Inform_Name
I am Tariq.,Inform_Name
My name is Naveed.,Inform_Name
I am Hania.,Inform_Name
"Hello, I am Ameen.",Inform_Name
I go by the name of Samina.,Inform_Name
My name is Imran.,Inform_Name
I am Munir.,Inform_Name
You can call me Naila.,Inform_Name
I am Rashid.,Inform_Name
My name is Shazia.,Inform_Name
"Hello, my name is Shahid.",Inform_Name
I am Aysha.,Inform_Name
You can call me Asim.,Inform_Name
I am Muneeb.,Inform_Name
My name is Zain.,Inform_Name
I am Humaira.,Inform_Name
"Hello, I am Ahsan.",Inform_Name
I go by the name of Sana.,Inform_Name
