Sample,Intent
No,Deny
Never,Deny
Nope,Deny
Nah,Deny
Incorrect,Deny
Disagree,Deny
It is not so,Deny
"I do not think soNo, I do not think that is correct.",Deny
I disagree with that statement.,Deny
"No, I do not have that experience.",Deny
That is not something I agree with.,Deny
"No, I cannot do that.",Deny
I do not think that is the right approach.,Deny
"No, I do not have those skills.",Deny
That is not how I would do it.,Deny
I do not think that will work.,Deny
"No, I do not agree with you.",Deny
I do not believe that is correct.,Deny
"No, I cannot accept that.",Deny
That is not my understanding.,Deny
"No, I do not think that is feasible.",Deny
I am not sure I agree with that.,Deny
"No, I do not think that is necessary.",Deny
I do not believe that is the right solution.,Deny
"No, I do not think that is the best option.",Deny
I am not comfortable with that.,Deny
"No, I do not support that idea.",Deny
That is not something I can do.,Deny
"No, I do not have that qualification.",Deny
I do not think that is a good idea.,Deny
"No, I cannot agree with that.",Deny
I do not think that is possible.,Deny
"No, I do not think that is the answer.",Deny
I do not see it that way.,Deny
"No, that is not my opinion.",Deny
I do not think that will be effective.,Deny
"No, I do not think that is relevant.",Deny
I do not think that is the right fit.,Deny
"No, that is not something I can commit to.",Deny
I do not think that is the right direction.,Deny
"No, I do not think that is necessary.",Deny
I do not believe that is the correct path.,Deny
"No, that is not what I would choose.",Deny
I do not think that is appropriate.,Deny
"No, I cannot agree with that decision.",Deny
I do not think that is the right choice.,Deny
"No, I do not think that will work out.",Deny
I do not see how that will be effective.,Deny
"No, I cannot support that.",Deny
I do not think that is a good solution.,Deny
"No, I do not believe that is the best approach.",Deny
I do not think that will be successful.,Deny
"No, I cannot go along with that.",Deny
I do not think that is worth pursuing.,Deny
"No, that is not something I can agree with.",Deny
I do not think that will achieve the goal.,Deny
"No, I do not believe that is the best option.",Deny
I do not think that is the right move.,Deny
"No, I do not think that is achievable.",Deny
I do not think that is a good plan.,Deny
"No, I do not see the value in that.",Deny
I do not believe that will work.,Deny
"No, that is not something I can do.",Deny
I do not think that is the right approach.,Deny
"No, I do not think that will be effective.",Deny
I do not think that is the best way forward.,Deny
"No, that is not the right path for me.",Deny
I do not believe that is the right choice.,Deny
"No, I do not think that will solve the problem.",Deny
I do not think that is the correct decision.,Deny
"No, that is not the way I would go.",Deny
I do not believe that is the right answer.,Deny
"No, I do not think that is the right solution.",Deny
I do not think that will work out.,Deny
"No, I do not agree with that.",Deny
I do not believe that is the correct approach.,Deny
"No, that is not something I would do.",Deny
I do not think that is necessary.,Deny
"No, I do not see that working.",Deny
I do not think that is the right fit.,Deny
"No, I do not think that is realistic.",Deny
I do not believe that is the right plan.,Deny
"No, I do not think that will be successful.",Deny
I do not think that is the right course of action.,Deny
"No, I cannot agree with that plan.",Deny
I do not think that is the right way to go.,Deny
"No, I do not believe that is a good idea.",Deny
I do not think that will work out well.,Deny
"No, I do not think that is the right choice.",Deny
I do not think that is feasible.,Deny
"No, I do not think that is the right option.",Deny
I do not believe that is the best approach.,Deny
"No, I do not see that as a viable solution.",Deny
I do not think that is the best way to proceed.,Deny
"No, I cannot go with that.",Deny
I do not think that is the right call.,Deny
"No, I do not think that is necessary.",Deny
I do not believe that is the right path.,Deny
"No, that is not something I would recommend.",Deny
I do not think that is the right strategy.,Deny
"No, I do not think that is going to work.",Deny
I do not think that is the right solution.,Deny
"No, I do not see that as effective.",Deny
I do not think that is the best plan.,Deny
"No, I do not believe that is the correct choice.",Deny
I do not think that will achieve the desired result.,Deny
"No, I do not think that is the right action.",Deny
I do not think that is the best course of action.,Deny
"No, I do not think that is realistic.",Deny
I do not believe that is the right decision.,Deny
"No, I do not think that will work.",Deny
I do not think that is the best option.,Deny
"No, I do not think that is a good solution.",Deny
I do not think that is necessary.,Deny
"No, I do not think that will work out.",Deny
I do not think that is a good plan.,Deny
"No, I do not believe that is the right approach.",Deny
I do not think that is the best move.,Deny
"No, I do not think that will be effective.",Deny
I do not think that is the right direction.,Deny
"No, I do not think that is the right choice.",Deny
I do not think that will solve the problem.,Deny
"No, I do not see that as a viable option.",Deny
I do not think that is the best course of action.,Deny
"No, I do not believe that is the correct decision.",Deny
I do not think that is going to work out.,Deny
"No, I do not think that is necessary.",Deny
I do not think that is the best solution.,Deny
"No, I do not think that is the right path.",Deny
I do not think that is the best option.,Deny
"No, I do not think that is achievable.",Deny
I do not think that is the right fit.,Deny
"No, I do not believe that is a good idea.",Deny
I do not think that is the correct approach.,Deny
"No, I do not think that is realistic.",Deny
I do not think that is the right way to go.,Deny
"No, I do not think that is a good solution.",Deny
I do not think that is the right approach.,Deny
"No, I do not think that will work.",Deny
I do not think that is necessary.,Deny
"No, I do not think that is the right move.",Deny
I do not think that is feasible.,Deny
"No, I do not think that will work out.",Deny
I do not think that is the best option.,Deny
"No, I do not think that is the right decision.",Deny
I do not think that is the best course.,Deny
"No, I do not think that is a good plan.",Deny
I do not think that is the right solution.,Deny
"No, I do not think that is realistic.",Deny
I do not think that is the correct approach.,Deny
"No, I do not think that is achievable.",Deny
I do not think that is the right choice.,Deny
"No, I do not think that is a good strategy.",Deny
I do not think that is the right direction.,Deny
"No, I do not believe that is correct.",Deny
I do not think that will be effective.,Deny
"No, I do not think that is the right move.",Deny
I do not think that is the best approach.,Deny
"No, I do not think that is going to work.",Deny
I do not think that is the best way forward.,Deny
"No, I do not think that is the right path.",Deny
I do not think that is a good idea.,Deny
"No, I do not think that will be successful.",Deny
I do not think that is the right solution.,Deny
"No, I do not think that is feasible.",Deny
I do not think that is the best course of action.,Deny
