Sample,Intent
"Yes, I agree",Affirm
Yeah,Affirm
Yep,Affirm
Right,Affirm
That is correct,Affirm
I understand,Affirm
Absolutely,Affirm
Agree,Affirm
Correct,Affirm
I think so,Affirm
I believe so,Affirm
"Yes, that is right",Affirm
"Yes, I can",Affirm
"Yes, I will",Affirm
Of course,Affirm
Certainly,Affirm
I agree with that,Affirm
I am confident,Affirm
That is right,Affirm
"Yes, I do",Affirm
"Yes, I am",Affirm
"Yes, that is true",Affirm
I am sure,Affirm
I think that is correct,Affirm
"Yes, definitely",Affirm
"Yes, that is my answer",Affirm
I can confirm that,Affirm
That is my understanding,Affirm
I agree with your statement,Affirm
"Yes, I can confirm",Affirm
That sounds correct,Affirm
I would say yes,Affirm
"Yes, I have",Affirm
"Yes, I did",Affirm
"Yes, it is",Affirm
"Yes, I am sure",Affirm
"Yes, I can do that",Affirm
"Yes, I know",Affirm
I confirm,Affirm
"Yes, you are right",Affirm
I will do that,Affirm
That is my opinion,Affirm
I will confirm that,Affirm
I am in agreement,Affirm
"Yes, it was",Affirm
"Yes, it will be",Affirm
I think that is right,Affirm
That is my belief,Affirm
"Yes, that is the case",Affirm
I will say yes,Affirm
I am positive,Affirm
I support that,Affirm
That is fine,Affirm
"Yes, I noticed",Affirm
I will agree,Affirm
I accept that,Affirm
"Yes, you are correct",Affirm
That is correct to me,Affirm
I will go with that,Affirm
I am okay with that,Affirm
"Yes, I understand that",Affirm
"Yes, that makes sense",Affirm
"Yes, that is my thought",Affirm
I approve,Affirm
"Yes, that is acceptable",Affirm
"Yes, I noticed that",Affirm
"Yes, that is fine",Affirm
I am sure about that,Affirm
"Yes, that is how it is",Affirm
"Yes, that is my view",Affirm
I think that is fine,Affirm
"Yes, I am comfortable",Affirm
I agree with the idea,Affirm
"Yes, I noticed that too",Affirm
That sounds good,Affirm
"Yes, that is the way",Affirm
I think you are right,Affirm
That is my decision,Affirm
"Yes, that will work",Affirm
"Yes, that is the solution",Affirm
"Yes, I would agree",Affirm
That is the answer,Affirm
"Yes, that is my choice",Affirm
I will say that is right,Affirm
I feel that is correct,Affirm
"Yes, I can handle that",Affirm
"Yes, I did that",Affirm
I think that is it,Affirm
"Yes, I will do it",Affirm
"Yes, that works for me",Affirm
I support the idea,Affirm
That is a good point,Affirm
"Yes, I think you are right",Affirm
I will agree with that,Affirm
"Yes, I can see that",Affirm
"Yes, that makes sense to me",Affirm
I can support that,Affirm
"Yes, I have seen that",Affirm
That is a good idea,Affirm
"Yes, I have done that",Affirm
I think that will work,Affirm
