Sample,Intent
I live in Lahore,inform_address
My city is Islamabad,inform_address
I come from Karachi,inform_address
I reside in Faisalabad,inform_address
I'm from Rawalpindi,inform_address
I am currently in Multan,inform_address
My home city is Peshawar,inform_address
I live in Quetta,inform_address
I stay in Sialkot,inform_address
I reside in Gujranwala,inform_address
My current city is Bahawalpur,inform_address
I am based in Sukkur,inform_address
My location is Sargodha,inform_address
I am from Abbottabad,inform_address
I live in Hyderabad,inform_address
My address is in Mardan,inform_address
I am staying in Rahim Yar Khan,inform_address
I come from Kasur,inform_address
I live in Okara,inform_address
I am currently based in Jhelum,inform_address
My city is Gujrat,inform_address
I stay in Dera Ghazi Khan,inform_address
I reside in Sahiwal,inform_address
My address is in Chakwal,inform_address
I live in Mianwali,inform_address
I am from Mirpur,inform_address
I reside in Chitral,inform_address
My current location is Sheikhupura,inform_address
I come from Toba Tek Singh,inform_address
I am staying in Swat,inform_address
I live in Dera Ismail Khan,inform_address
I reside in Khushab,inform_address
My home is in Muzaffargarh,inform_address
I come from Narowal,inform_address
I live in Kohat,inform_address
I am based in Wah Cantt,inform_address
I reside in Attock,inform_address
I live in Nowshera,inform_address
My home is in Bahawalnagar,inform_address
I come from Swabi,inform_address
I am staying in Mansehra,inform_address
I live in Jhang,inform_address
I reside in Khuzdar,inform_address
I am currently based in Chiniot,inform_address
My city is Larkana,inform_address
I stay in Kharian,inform_address
I am from Skardu,inform_address
I live in Dubai,inform_address
My city is London,inform_address
I reside in New York,inform_address
I am currently living in Islamabad,inform_address
I belong to Karachi,inform_address
I am based out of Lahore,inform_address
My home is in Rawalpindi,inform_address
My city is Multan,inform_address
I come from Faisalabad,inform_address
I am settled in Quetta,inform_address
I am staying in Peshawar,inform_address
I reside in Sialkot at the moment,inform_address
My address is Gujranwala,inform_address
I live in Bahawalpur,inform_address
I hail from Sukkur,inform_address
I currently reside in Sargodha,inform_address
I am located in Abbottabad,inform_address
"I am from Hyderabad, Pakistan",inform_address
My hometown is Mardan,inform_address
I am originally from Rahim Yar Khan,inform_address
I reside in Kasur,inform_address
I am living in Okara,inform_address
My city of residence is Jhelum,inform_address
I call Gujrat my home,inform_address
I am from Dera Ghazi Khan,inform_address
I currently live in Sahiwal,inform_address
My address is Chakwal,inform_address
I come from Mianwali,inform_address
"I live in Mirpur, AJK",inform_address
I am residing in Chitral,inform_address
I belong to Sheikhupura,inform_address
My current city of residence is Toba Tek Singh,inform_address
I hail from Swat,inform_address
I am located in Dera Ismail Khan,inform_address
