Sample,Intent
"I'm expecting a starting salary of around 50,000 Rs..",Inform Salary
"I was hoping for a salary in the range of 60,000 Rs. to 70,000 Rs..",Inform Salary
"My current salary is 55,000 Rs., and I'm looking for a raise.",Inform Salary
"I would prefer a salary of at least 45,000 Rs..",Inform Salary
I'm open to negotiating my salary.,Inform Salary
My salary expectation is based on the industry standard.,Inform Salary
I am looking for a competitive salary package.,Inform Salary
I would like a salary that reflects my experience.,Inform Salary
"My expected salary is negotiable within the range of 50,000 Rs. to 60,000 Rs..",Inform Salary
"I was earning $40,000 in my previous job.",Inform Salary
I'm looking for a salary that aligns with the job role.,Inform Salary
I expect my salary to be commensurate with my skills.,Inform Salary
"A fair salary for me would be around 55,000 Rs..",Inform Salary
I'm seeking a salary that supports my cost of living.,Inform Salary
"I would be satisfied with a salary of 50,000 Rs. plus benefits.",Inform Salary
"I'm hoping to earn around 60,000 Rs. in this role.",Inform Salary
I'm looking for a salary that's competitive in the current market.,Inform Salary
I would like to discuss the salary further.,Inform Salary
I expect a salary package that includes bonuses.,Inform Salary
"I'm seeking a base salary of 65,000 Rs..",Inform Salary
"I was hoping the salary would be closer to 70,000 Rs..",Inform Salary
My salary requirement is flexible.,Inform Salary
"I expect to start at around 55,000 Rs..",Inform Salary
I'm looking for a salary that matches my qualifications.,Inform Salary
"A salary of 50,000 Rs. would be ideal for me.",Inform Salary
I'm interested in a salary that includes performance bonuses.,Inform Salary
"I'm expecting a salary of at least 60,000 Rs..",Inform Salary
"I would prefer a salary of 55,000 Rs. plus healthcare benefits.",Inform Salary
I'm open to discussing the salary range.,Inform Salary
"I believe a fair salary would be between 50,000 Rs. and 65,000 Rs..",Inform Salary
I'm aiming for a salary that supports my professional growth.,Inform Salary
My salary expectation is based on my previous experience.,Inform Salary
I'm seeking a salary that reflects the responsibilities of this role.,Inform Salary
"A salary of 60,000 Rs. would be a good fit for me.",Inform Salary
I'm looking for a salary package that includes stock options.,Inform Salary
I'm interested in a salary that offers room for growth.,Inform Salary
My expected salary aligns with industry benchmarks.,Inform Salary
"I'm looking for a base salary of 55,000 Rs..",Inform Salary
"I would be comfortable with a salary starting at 50,000 Rs..",Inform Salary
"I'm hoping to secure a salary of around 60,000 Rs..",Inform Salary
I expect a salary that's aligned with my level of experience.,Inform Salary
I'm looking for a competitive starting salary.,Inform Salary
"My salary range expectation is between 50,000 Rs. and 70,000 Rs..",Inform Salary
"I was earning $52,000 in my last role.",Inform Salary
I'm seeking a salary that includes annual bonuses.,Inform Salary
"A salary of 55,000 Rs. would meet my needs.",Inform Salary
I'm hoping for a salary offer that reflects my skills.,Inform Salary
"My expected salary is around 60,000 Rs..",Inform Salary
I'm looking for a salary that offers stability.,Inform Salary
I expect a compensation package that includes benefits.,Inform Salary
I'm seeking a salary that's aligned with the job market.,Inform Salary
"I would prefer a salary of 65,000 Rs..",Inform Salary
"My ideal salary would be in the 55,000 Rs. range.",Inform Salary
"I'm looking for a starting salary of around 50,000 Rs..",Inform Salary
I would like to earn a salary that reflects my professional background.,Inform Salary
