Sentence,Labels
My name is Ahmed.,O O O B-NAME
I am Aisha.,O O B-NAME
"Hello, I am Bilal.",O O O B-NAME
My name is Sara.,O O O B-NAME
I go by the name of Ali.,O O O O O O B-NAME
I am Fatima.,O O B-NAME
You can call me Usman.,O O O O B-NAME
I am Amina.,O O B-NAME
My name is Imran.,O O O B-NAME
I am Sana.,O O B-NAME
I go by the name of Tariq.,O O O O O O B-NAME
My name is Hina.,O O O B-NAME
I am Faisal.,O O B-NAME
"Hello, I am Nadia.",O O O B-NAME
My name is Osama.,O O O B-NAME
I am Mariam.,O O B-NAME
You can call me Hasan.,O O O O B-NAME
I am Rabia.,O O B-NAME
My name is Saad.,O O O B-NAME
I am Meher.,O O B-NAME
"Hello, my name is Kamran.",O O O O B-NAME
I go by the name of Haseeb.,O O O O O O B-NAME
My name is Alina.,O O O B-NAME
I am Bilal.,O O B-NAME
You can call me Naeem.,O O O O B-NAME
I am Javeria.,O O B-NAME
My name is Danish.,O O O B-NAME
I am Neha.,O O B-NAME
"Hello, I am Zubair.",O O O B-NAME
My name is Saira.,O O O B-NAME
I am Mohtashim.,O O B-NAME
You can call me Ayesha.,O O O O B-NAME
I am Waqas.,O O B-NAME
My name is Shahida.,O O O B-NAME
I am Khalid.,O O B-NAME
"Hello, my name is Anum.",O O O O B-NAME
I go by the name of Sarmad.,O O O O O O B-NAME
My name is Kiran.,O O O B-NAME
I am Usman.,O O B-NAME
You can call me Farah.,O O O O B-NAME
I am Adnan.,O O B-NAME
My name is Uzma.,O O O B-NAME
"Hello, I am Tariq.",O O O B-NAME
I am Adeel.,O O B-NAME
My name is Gul.,O O O B-NAME
I am Zainab.,O O B-NAME
You can call me Hamza.,O O O O B-NAME
I am Nida.,O O B-NAME
My name is Bilal.,O O O B-NAME
I am Sehrish.,O O B-NAME
"Hello, my name is Bilal.",O O O O B-NAME
My name is Sara.,O O O B-NAME
I am Anwar.,O O B-NAME
You can call me Rida.,O O O O B-NAME
I am Tariq.,O O B-NAME
My name is Naveed.,O O O B-NAME
I am Hania.,O O B-NAME
"Hello, I am Ameen.",O O O B-NAME
I go by the name of Samina.,O O O O O O B-NAME
My name is Imran.,O O O B-NAME
I am Munir.,O O B-NAME
You can call me Naila.,O O O O B-NAME
I am Rashid.,O O B-NAME
My name is Shazia.,O O O B-NAME
"Hello, my name is Shahid.",O O O O B-NAME
I am Aysha.,O O B-NAME
You can call me Asim.,O O O O B-NAME
I am Muneeb.,O O B-NAME
My name is Zain.,O O O B-NAME
I am Humaira.,O O B-NAME
"Hello, I am Ahsan.",O O O B-NAME
I go by the name of Sana.,O O O O O O B-NAME
My name is Wali.,O O O B-NAME
I am Ruqaiya.,O O B-NAME
You can call me Kamran.,O O O O B-NAME
I am Hina.,O O B-NAME
My name is Khadija.,O O O B-NAME
I am Rehman.,O O B-NAME
"Hello, I am Saira.",O O O B-NAME
You can call me Madiha.,O O O O B-NAME
I am Khalid.,O O B-NAME
My name is Tanveer.,O O O B-NAME
I am Sonia.,O O B-NAME
"Hello, I am Faisal.",O O O B-NAME
I go by the name of Rabia.,O O O O O O B-NAME
My name is Zeeshan.,O O O B-NAME
I am Farhan.,O O B-NAME
You can call me Aisha.,O O O O B-NAME
I am Raza.,O O B-NAME
My name is Shahnaz.,O O O B-NAME
I am Yasir.,O O B-NAME
"Hello, I am Shumaila.",O O O B-NAME
You can call me Umair.,O O O O B-NAME
I am Nida.,O O B-NAME
My name is Bilal.,O O O B-NAME
I am Amna.,O O B-NAME
"Hello, I am Sameer.",O O O B-NAME
My name is Naila.,O O O B-NAME
I am Yasir.,O O B-NAME
You can call me Meher.,O O O O B-NAME
I am Ayesha.,O O B-NAME
My name is Haroon.,O O O B-NAME
I am Asma.,O O B-NAME
"Hello, I am Hamza.",O O O B-NAME
I go by the name of Saima.,O O O O O B-NAME
My name is Junaid.,O O O B-NAME
I am Fariha.,O O B-NAME
You can call me Bilal.,O O O O B-NAME
I am Munir.,O O B-NAME
My name is Rukhsar.,O O O B-NAME
I am Kamran.,O O B-NAME
"Hello, I am Tariq.",O O O B-NAME
You can call me Muneeb.,O O O O B-NAME
I am Nasir.,O O B-NAME
My name is Haseeb.,O O O B-NAME
I am Fariha.,O O B-NAME
"Hello, my name is Naveed.",O O O O B-NAME
I go by the name of Javeria.,O O O O O B-NAME
My name is Yousuf.,O O O B-NAME
I am Rida.,O O B-NAME
You can call me Iqbal.,O O O O B-NAME
I am Saira.,O O B-NAME
My name is Ali.,O O O B-NAME
I am Tanveer.,O O B-NAME
"Hello, I am Zara.",O O O B-NAME
You can call me Umair.,O O O O B-NAME
I am Zain.,O O B-NAME
My name is Samina.,O O O B-NAME
I am Hafsa.,O O B-NAME
"Hello, I am Ahmed.",O O O B-NAME
You can call me Javed.,O O O O B-NAME
I am Bilal.,O O B-NAME
My name is Noor.,O O O B-NAME
I am Ahmad.,O O B-NAME
"Hello, my name is Khadija.",O O O O B-NAME
You can call me Hussain.,O O O O B-NAME
I am Imran.,O O B-NAME
My name is Alina.,O O O B-NAME
I am Waqas.,O O B-NAME
"Hello, I am Yasmin.",O O O B-NAME
My name is Khadija.,O O O B-NAME
I am Tanveer.,O O B-NAME
You can call me Samia.,O O O O B-NAME
I am Faizan.,O O B-NAME
My name is Nadia.,O O O B-NAME
I am Shahnaz.,O O B-NAME
"Hello, my name is Zubair.",O O O O B-NAME
You can call me Kamran.,O O O O B-NAME
I am Noor.,O O B-NAME
My name is Rizwan.,O O O B-NAME
I am Meher.,O O B-NAME
"Hello, I am Fariha.",O O O B-NAME
You can call me Hina.,O O O O B-NAME
I am Sana.,O O B-NAME
My name is Asif.,O O O B-NAME
I am Rehman.,O O B-NAME
"Hello, my name is Zeeshan.",O O O B-NAME
You can call me Humaira.,O O O O B-NAME
I am Tariq.,O O B-NAME
My name is Zainab.,O O O B-NAME
I am Ahmed.,O O B-NAME
"Hello, I am Bilal.",O O O B-NAME
You can call me Usman.,O O O O B-NAME
I am Nadia.,O O B-NAME
My name is Shahid.,O O O B-NAME
I am Sonia.,O O B-NAME
"Hello, I am Aisha.",O O O B-NAME
You can call me Hasan.,O O O O B-NAME
I am Alina.,O O B-NAME
My name is Raheel.,O O O B-NAME
I am Humaira.,O O B-NAME
"Hello, my name is Sana.",O O O B-NAME
You can call me Ijaz.,O O O O B-NAME
I am Kiran.,O O B-NAME
My name is Samir.,O O O B-NAME
I am Sara.,O O B-NAME
"Hello, I am Imran.",O O O B-NAME
You can call me Saira.,O O O O B-NAME
I am Tariq.,O O B-NAME
My name is Javeria.,O O O B-NAME
I am Saad.,O O B-NAME
"Hello, my name is Gul.",O O O B-NAME
You can call me Yousuf.,O O O O B-NAME
I am Maryam.,O O B-NAME
My name is Muneeb.,O O O B-NAME
I am Zainab.,O O B-NAME
"Hello, I am Muhammad.",O O O B-NAME
You can call me Bilal.,O O O O B-NAME
I am Anum.,O O B-NAME
My name is Anwar.,O O O B-NAME
I am Amina.,O O B-NAME
"Hello, my name is Nadia.",O O O O B-NAME
You can call me Rabia.,O O O O B-NAME
I am Usman.,O O B-NAME
My name is Farhan.,O O O B-NAME
I am Sara.,O O B-NAME
"Hello, I am Imran.",O O O B-NAME
You can call me Hina.,O O O O B-NAME
I am Bilal.,O O B-NAME
My name is Farah.,O O O B-NAME
I am Ahmed.,O O B-NAME
"Hello, my name is Mariam.",O O O O B-NAME
You can call me Tariq.,O O O O B-NAME
I am Waqas.,O O B-NAME
My name is Fariha.,O O O B-NAME
I am Asim.,O O B-NAME
"Hello, my name is Zeeshan.",O O O O B-NAME
You can call me Sana.,O O O O B-NAME
I am Imran.,O O B-NAME
My name is Aisha.,O O O B-NAME
I am Faizan.,O O B-NAME
"Hello, I am Javeria.",O O O B-NAME
You can call me Hina.,O O O O B-NAME
I am Kamran.,O O B-NAME
My name is Yasir.,O O O B-NAME
I am Alina.,O O B-NAME
"Hello, my name is Noor.",O O O O B-NAME
You can call me Saad.,O O O O B-NAME
I am Amina.,O O B-NAME
My name is Hafsa.,O O O B-NAME
I am Zain.,O O B-NAME
"Hello, I am Adeel.",O O O B-NAME
You can call me Tariq.,O O O O B-NAME
I am Sana.,O O B-NAME
My name is Sara.,O O O B-NAME
I am Ahmed.,O O B-NAME
"Hello, my name is Yasmin.",O O O O B-NAME
You can call me Imran.,O O O B-NAME
I am Nadia.,O O B-NAME
My name is Usman.,O O O B-NAME
I am Bilal.,O O B-NAME
"Hello, I am Amina.",O O O B-NAME
You can call me Fariha.,O O O B-NAME
I am Rehman.,O O B-NAME
My name is Samina.,O O O B-NAME
I am Ali.,O O B-NAME
"Hello, my name is Usman.",O O O O B-NAME
You can call me Saira.,O O O B-NAME
I am Tanveer.,O O B-NAME
My name is Kiran.,O O O B-NAME
I am Naila.,O O B-NAME
"Hello, I am Haseeb.",O O O B-NAME
You can call me Zubair.,O O O O B-NAME
I am Saad.,O O B-NAME
My name is Aisha.,O O O B-NAME
I am Rabia.,O O B-NAME
"Hello, my name is Tariq.",O O O O B-NAME
You can call me Mariam.,O O O O B-NAME
I am Faizan.,O O B-NAME
My name is Bilal.,O O O B-NAME
I am Usman.,O O B-NAME
"Hello, my name is Ahmed.",O O O O B-NAME
You can call me Yasir.,O O O O B-NAME
I am Sana.,O O B-NAME
My name is Adeel.,O O O B-NAME
I am Sara.,O O B-NAME
"Hello, I am Hina.",O O O B-NAME
You can call me Anum.,O O O O B-NAME
I am Rehman.,O O B-NAME
My name is Khadija.,O O O B-NAME
I am Imran.,O O B-NAME
"Hello, my name is Zain.",O O O O B-NAME
You can call me Kamran.,O O O O B-NAME
I am Amina.,O O B-NAME
My name is Samia.,O O O B-NAME
I am Bilal.,O O B-NAME
"Hello, I am Rabia.",O O O B-NAME
You can call me Tariq.,O O O O B-NAME
I am Sana.,O O B-NAME
My name is Tariq.,O O O B-NAME
I am Aisha.,O O B-NAME
"Hello, my name is Yasmin.",O O O O B-NAME
