Sentence,Labels
I have a Bachelors of Science in Computer Science from the University of Karachi.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I graduated with a BS in Software Engineering from NUST.,O O O O B-Degree I-Degree I-Degree I-Degree O B-ORG
I completed my Masters degree in Machine Learning at MIT.,O O O B-Degree O O B-Degree I-Degree O B-ORG
I hold an MSCS from the Lahore University of Management Sciences.,O O O B-Degree O O B-ORG I-ORG I-ORG I-ORG I-ORG
I earned a BSc in Artificial Intelligence from University of Punjab.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG
I have a diploma in Data Science from Coursera.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG
I completed my BS SE at Ghulam Ishaq Khan Institute.,O O O B-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG
I have a Masters in Data Analytics from the University of Edinburgh.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I graduated with a BS in Information Technology from University of Central Punjab.,O O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG
I completed my MS in Computer Science at Stanford University.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I hold a Bachelors degree in Computer Engineering from NED University.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a Mater in AI from the University of Toronto.,O O O B-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I earned a BSc in Cyber Security from COMSATS University.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I completed a diploma in Cloud Computing from edX.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG
I have a Bachelor in Software Development from the University of Karachi.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I graduated with an MS in Data Science from UC Berkeley.,O O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a degree in BS Information Systems from the Institute of Business Administration.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG I-ORG
I completed my Maters in Computer Networks from University of Southampton.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG
I hold a Bachelors in Robotics from National University of Sciences and Technology.,O O O B-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
I have a diploma in AI and Machine Learning from Skillshare.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG
I graduated with a BS in Computer Science from the University of Lahore.,O O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I completed my MS in Machine Learning at Georgia Tech.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I earned a Bachelors of Science in Software Engineering from FAST NU.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a Mater in Data Science from Harvard University.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I completed my BSc in Computing from the University of Bristol.,O O O B-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I hold an MS in AI from the University of Queensland.,O O O B-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I graduated with a BS in Cybersecurity from the University of Peshawar.,O O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I earned a diploma in Data Analysis from LinkedIn Learning.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a Bachelors of Science in Artificial Intelligence from NUST.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG
I completed my Maters degree in Data Engineering at Columbia University.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I graduated with a BS in Information Technology from Kinnaird College.,O O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a Mater in Computer Science from the University of Melbourne.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I hold a Bachelors of Science in Software Engineering from University of the Punjab.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG
I completed a diploma in Machine Learning from Coursera.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG
I graduated with an MS in Artificial Intelligence from Oxford University.,O O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a Bachelor in Computer Science from Punjab University.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I earned a BS in Information Systems from the Institute of Business Management.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG I-ORG
I completed my Maters in Software Engineering at the University of Illinois.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I have a diploma in Data Science and AI from the University of Toronto.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I graduated with a Bachelors of Science in Cybersecurity from Karachi Institute of Economics and Technology.,O O O O B-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"I completed my MS in Data Science from the University of California, San Diego.",O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG I-ORG I-ORG
I hold a Bachelors of Science in Computer Science from Ghulam Ishaq Khan Institute.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG
I have a Mater in Data Science from the University of Melbourne.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I earned a BSc in Information Technology from University of Science and Technology.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG I-ORG I-ORG I-ORG
I graduated with a diploma in Machine Learning from Udacity.,O O O O B-Degree I-Degree I-Degree I-Degree O I-ORG
I completed my Bachelors in Software Engineering from NED University.,O O O B-Degree I-Degree I-Degree I-Degree O B-ORG I-ORG
I have a Maters in Data Science from the University of Washington.,O O O B-Degree I-Degree I-Degree I-Degree O O B-ORG I-ORG I-ORG
I graduated with an MS in AI from Yale University.,O O O O B-Degree I-Degree I-Degree O B-ORG I-ORG
I hold a Bachelors degree in Computer Science from LUMS.,O O O B-Degree I-Degree I-Degree I-Degree I-Degree O B-ORG
I earned a diploma in Cyber Security from Udemy.,O O O B-Degree I-Degree I-Degree I-Degree O I-ORG
