Sample,Intent
Hello,Greeting
Good morning,Greeting
Good afternoon,Greeting
Good evening,Greeting
Hi there,Greeting
Hello there,Greeting
Greetings,Greeting
Hey,Greeting
Hi,Greeting
How do you do,Greeting
Good day,Greeting
Nice to meet you,Greeting
It is nice to meet you,Greeting
Pleased to meet you,Greeting
How are you,Greeting
How is it going,Greeting
How have you been,Greeting
How are you doing today,Greeting
What is up,Greeting
Good to see you,Greeting
Long time no see,Greeting
I hope you are doing well,Greeting
How have you been doing,Greeting
How do you do today,Greeting
How are things,Greeting
How is everything,Greeting
It is good to see you,Greeting
"Hi, how are you",Greeting
"Hi, how is it going",Greeting
"Hey, what is up",Greeting
"Hello, how are you today",Greeting
"Hey, how are you",Greeting
"Good morning, how are you",Greeting
"Good afternoon, how are you",Greeting
"Good evening, how are you",Greeting
"Hi there, how are you",Greeting
"Hello there, how are you",Greeting
"Hello, it is good to see you",Greeting
"Hey, how have you been",Greeting
"Hi, how have you been",Greeting
"Hello, how have you been",Greeting
How are you today,Greeting
What is new,Greeting
How is your day going,Greeting
How is life,Greeting
"Hello, how is your day going",Greeting
"Hi, how is your day going",Greeting
"Hey, how is your day going",Greeting
Good to see you again,Greeting
It is good to see you again,Greeting
Nice to see you,Greeting
Nice to see you again,Greeting
Hello again,Greeting
Hi again,Greeting
Hey again,Greeting
Good to see you once more,Greeting
"Hi, nice to see you",Greeting
"Hello, nice to see you",Greeting
"Hey, nice to see you",Greeting
What is going on,Greeting
How is it going today,Greeting
How is your day,Greeting
What is happening,Greeting
"Good morning, how are you doing",Greeting
"Good afternoon, how are you doing",Greeting
"Good evening, how are you doing",Greeting
"Hi, how are you doing",Greeting
"Hello, how are you doing",Greeting
"Hey, how are you doing",Greeting
What is happening today,Greeting
What is going on today,Greeting
How are you feeling today,Greeting
What have you been up to,Greeting
What are you up to,Greeting
"Hi, how have you been doing",Greeting
"Hello, how have you been doing",Greeting
"Hey, how have you been doing",Greeting
What is new with you,Greeting
What have you been doing,Greeting
How have you been getting on,Greeting
How have you been feeling,Greeting
What is going on with you,Greeting
How is everything going,Greeting
How is it going with you,Greeting
What is the news,Greeting
What is the latest,Greeting
What is the word,Greeting
"Hi, how are things going",Greeting
"Hello, how are things going",Greeting
"Hey, how are things going",Greeting
What is the latest news,Greeting
How is your day today,Greeting
How is it today,Greeting
What is new today,Greeting
"Hello, what is going on",Greeting
"Hi, what is going on",Greeting
"Hey, what is going on",Greeting
What have you been up to today,Greeting
How has your day been,Greeting
How has it been today,Greeting
How is the day treating you,Greeting
"Good morning, what is up",Greeting
"Good afternoon, what is up",Greeting
"Good evening, what is up",Greeting
"Hi, what is up",Greeting
"Hello, what is up",Greeting
"Hey, what is up",Greeting
How are you this morning,Greeting
How are you this afternoon,Greeting
How are you this evening,Greeting
What is the word today,Greeting
"Hi, how are things",Greeting
"Hello, how are things",Greeting
"Hey, how are things",Greeting
How has your day been going,Greeting
How are you getting on,Greeting
"Hi, what is new with you",Greeting
"Hello, what is new with you",Greeting
"Hey, what is new with you",Greeting
"Hi, what have you been doing",Greeting
"Hello, what have you been doing",Greeting
"Hey, what have you been doing",Greeting
How are you feeling,Greeting
"Hi, how are you feeling",Greeting
"Hello, how are you feeling",Greeting
"Hey, how are you feeling",Greeting
How is everything with you,Greeting
"Hi, how is everything with you",Greeting
"Hello, how is everything with you",Greeting
"Hey, how is everything with you",Greeting
"Hi, how is it going with you",Greeting
"Hello, how is it going with you",Greeting
"Hey, how is it going with you",Greeting
How are you getting on today,Greeting
What is up with you,Greeting
"Hi, what is up with you",Greeting
"Hello, what is up with you",Greeting
"Hey, what is up with you",Greeting
How has it been,Greeting
"Hi, how has it been",Greeting
"Hello, how has it been",Greeting
"Hey, how has it been",Greeting
"Hi, how has it been going",Greeting
"Hello, how has it been going",Greeting
"Hey, how has it been going",Greeting
What have you been up to lately,Greeting
"Hi, what have you been up to lately",Greeting
"Hello, what have you been up to lately",Greeting
"Hey, what have you been up to lately",Greeting
How is life treating you,Greeting
"Hi, how is life treating you",Greeting
"Hello, how is life treating you",Greeting
"Hey, how is life treating you",Greeting
What has been going on,Greeting
"Hi, what has been going on",Greeting
"Hello, what has been going on",Greeting
"Hey, what has been going on",Greeting
How have things been,Greeting
"Hi, how have things been",Greeting
"Hello, how have things been",Greeting
"Hey, how have things been",Greeting
How are things with you,Greeting
"Hi, how are things with you",Greeting
"Hello, how are things with you",Greeting
"Hey, how are things with you",Greeting
How are things going,Greeting
"Hi, how are things going",Greeting
"Hello, how are things going",Greeting
"Hey, how are things going",Greeting
How are things going with you,Greeting
"Hi, how are things going with you",Greeting
"Hello, how are things going with you",Greeting
"Hey, how are things going with you",Greeting
What has been happening,Greeting
"Hi, what has been happening",Greeting
"Hello, what has been happening",Greeting
"Hey, what has been happening",Greeting
How have you been feeling lately,Greeting
"Hi, how have you been feeling lately",Greeting
"Hello, how have you been feeling lately",Greeting
"Hey, how have you been feeling lately",Greeting
What has been new,Greeting
"Hi, what has been new",Greeting
"Hello, what has been new",Greeting
"Hey, what has been new",Greeting
What is going on with you today,Greeting
"Hi, what is going on with you today",Greeting
"Hello, what is going on with you today",Greeting
"Hey, what is going on with you today",Greeting
How is your day going so far,Greeting
"Hi, how is your day going so far",Greeting
