Sentence,Labels
I live in Lahore,O O O B-Address
My city is Islamabad,O O O B-Address
I come from Karachi,O O O B-Address
I reside in Faisalabad,O O O B-Address
I'm from Rawalpindi,O O B-Address
I am currently in Multan,O O O O B-Address
My home is Peshawar,O O O B-Address
I live in Quetta,O O O B-Address
I stay in Sialkot,O O O B-Address
I reside in Gujranwala,O O O B-Address
My current is Bahawalpur,O O O B-Address
I am based in Sukkur,O O O O B-Address
My location is Sargodha,O O O B-Address
I am from Abbottabad,O O O B-Address
I live in Hyderabad,O O O B-Address
My address is in Mardan,O O O O B-Address
I am staying in Rahim Yar Khan,O O O O B-Address I-Address I-Address
I come from Kasur,O O O B-Address
I live in Okara,O O O B-Address
I am currently based in Jhelum.,O O O O O B-Address
My city is Gujrat.,O O O B-Address
I stay in Dera Ghazi Khan.,O O O B-Address I-Address I-Address
I reside in Sahiwal.,O O O B-Address
My address is in Chakwal.,O O O O B-Address
I live in Mianwali.,O O O B-Address
I am from Mirpur.,O O O B-Address
I reside in Chitral.,O O O B-Address
My current location is Sheikhupura.,O O O O B-Address
I come from Toba Tek Singh.,O O O B-Address I-Address I-Address
I am staying in Swat.,O O O O B-Address
I live in Dera Ismail Khan.,O O O B-Address I-Address I-Address
I reside in Khushab.,O O O B-Address
My home is in Muzaffargarh.,O O O O B-Address
I come from Narowal.,O O O B-Address
I live in Kohat.,O O O B-Address
I am based in Wah Cantt.,O O O O B-Address I-Address
I reside in Attock.,O O O B-Address
I live in Nowshera.,O O O B-Address
My home is in Bahawalnagar.,O O O O B-Address
I come from Swabi.,O O O B-Address
I am staying in Mansehra.,O O O O B-Address
I live in Jhang.,O O O B-Address
I reside in Khuzdar.,O O O B-Address
I am currently based in Chiniot.,O O O O O B-Address
My city is Larkana.,O O O B-Address
I stay in Kharian.,O O O B-Address
I am from Skardu.,O O O B-Address
I live in Dubai.,O O O B-Address
My city is London.,O O O B-Address
I reside in New York.,O O O B-Address I-Address
I am currently living in Islamabad.,O O O O O B-Address
I belong to Karachi.,O O O B-Address
I am based out of Lahore.,O O O O O B-Address
My home is in Rawalpindi.,O O O O B-Address
My city is Multan.,O O O B-Address
I come from Faisalabad.,O O O B-Address
I am settled in Quetta.,O O O O B-Address
I am staying in Peshawar.,O O O O B-Address
I reside in Sialkot at the moment.,O O O B-Address O O O
My address is Gujranwala.,O O O B-Address
I live in Bahawalpur.,O O O B-Address
I hail from Sukkur.,O O O B-Address
I currently reside in Sargodha.,O O O O B-Address
I am located in Abbottabad.,O O O O B-Address
"I am from Hyderabad, Pakistan.",O O O B-Address O
My hometown is Mardan.,O O O B-Address
I am originally from Rahim Yar Khan.,O O O O B-Address I-Address I-Address
I reside in Kasur.,O O O B-Address
I am living in Okara.,O O O O B-Address
My city of residence is Jhelum.,O O O O O B-Address
I call Gujrat my home.,O O B-Address O O
I am from Dera Ghazi Khan.,O O O B-Address I-Address I-Address
I currently live in Sahiwal.,O O O O B-Address
My address is Chakwal.,O O O B-Address
I come from Mianwali.,O O O B-Address
"I live in Mirpur, AJK.",O O O B-Address I-Address
I am residing in Chitral.,O O O O B-Address
I belong to Sheikhupura.,O O O B-Address
My current city of residence is Toba Tek Singh.,O O O O O O B-Address I-Address I-Address
I hail from Swat.,O O O B-Address
I am located in Dera Ismail Khan.,O O O O B-Address I-Address I-Address
I reside in Khushab.,O O O B-Address
I come from Muzaffargarh.,O O O B-Address
I belong to Narowal.,O O O B-Address
I am currently in Kohat.,O O O O B-Address
I stay in Wah Cantt.,O O O B-Address I-Address
I am a resident of Attock.,O O O O O B-Address
I live in Nowshera.,O O O B-Address
My current residence is Bahawalnagar.,O O O O B-Address
I come from Swabi.,O O O B-Address
I am presently living in Mansehra.,O O O O O B-Address
My city is Jhang.,O O O B-Address
I am based in Khuzdar.,O O O O B-Address
I am currently residing in Chiniot.,O O O O O B-Address
I come from Larkana.,O O O B-Address
I live in Kharian.,O O O B-Address
I hail from Skardu.,O O O B-Address
I currently live in Riyadh.,O O O O B-Address
I am settled in Toronto.,O O O O B-Address
I am living in Paris.,O O O O B-Address
I belong to Berlin.,O O O B-Address
I am currently staying in Lahore.,O O O O O B-Address
I am from Karachi.,O O O B-Address
My city is Islamabad.,O O O B-Address
I live in Rawalpindi these days.,O O O B-Address O O
I am from Multan city.,O O O B-Address O
I reside in Faisalabad.,O O O B-Address
I am settled in Peshawar.,O O O O B-Address
I am living in Quetta.,O O O O B-Address
I currently stay in Sialkot.,O O O O B-Address
I am based in Gujranwala.,O O O O B-Address
My address is Bahawalpur.,O O O B-Address
I reside in Sukkur.,O O O B-Address
I am a resident of Sargodha.,O O O O O B-Address
I currently live in Abbottabad.,O O O O B-Address
I am from Hyderabad.,O O O B-Address
I belong to Mardan.,O O O B-Address
I am living in Rahim Yar Khan.,O O O O B-Address I-Address I-Address
I come from Kasur.,O O O B-Address
My residence is Okara.,O O O B-Address
I reside in Jhelum.,O O O B-Address
I am based in Gujrat.,O O O O B-Address
I am currently living in Dera Ghazi Khan.,O O O O O B-Address I-Address I-Address
I stay in Sahiwal.,O O O B-Address
I am from Chakwal.,O O O B-Address
I reside in Mianwali.,O O O B-Address
I hail from Mirpur.,O O O B-Address
I live in Chitral.,O O O B-Address
I currently reside in Sheikhupura.,O O O O B-Address
I belong to Toba Tek Singh.,O O O B-Address I-Address I-Address
I am from Swat valley.,O O O B-Address I-Address
